id,user_id,username,tweet,link
1001571949208915968,914859038587924480,Blue_Leader_,"@republicano1945 Vergonzoso. Inhabilitación de esos mossos YA¿Desde cuándo la ANC ostenta el Poder Judicial? ¿Pero quién coño es la ANC?Un agente policial se debe a la Ley, lo contrario es el FASCISMO hecho carne",https://twitter.com/Blue_Leader_/status/1001571949208915968
1001567749569687552,4866293902,JoseLafora,@PabloMM La Ley Mordaza versión New Jersey.,https://twitter.com/JoseLafora/status/1001567749569687552
1001560932181475328,15648827,muyinteresante,"La velocidad de nuestra #tecnología se duplica cada año, ¿verdad? Pues ya no <Emoji: Face screaming in fear> ¡La ley de Moore ha muerto!  http://dozz.es/p2reh4 ",https://twitter.com/muyinteresante/status/1001560932181475328
1001539511078346753,334030381,Albertoarchibal,La actitud de la señora Cospedal  riéndose del Poder judicial es de vergüenza. Nadie está por encima de la ley ni nadie puede comportarse con esa tiranía ante una sentencia por muy ministra que sea o Diosa que se crea. Alucino con ella.,https://twitter.com/Albertoarchibal/status/1001539511078346753
1001538984772800512,70657763,javiergmd,@InesArrimadas Vosotros sabíais q ganando por lo más posible al PP en todos los municipios de Cataluña a ellos les quitarían escaños pero a vosotros no siempre os los darían por la ley electoral. Y os dio igual. Queríais ganar en todos sitios aunque el voto fuese inútil. No buscasteis lo mejor,https://twitter.com/javiergmd/status/1001538984772800512
1001536467800416257,1567917614,GMEZISIDORO,Un alegato feminista en dia de hoy POR UN HOMBRE Y COMPAÑERO. LEY DIVINA ESCRIBIRLO.… https://proyectocuadernodebitacoradeluisa.blogspot.com/#!/2018/05/prefiero-que-me-quieran-que-tener-exito.html …,https://twitter.com/GMEZISIDORO/status/1001536467800416257
1001519964258471948,14236470,matthewbennett,@SoyTuAzote Todo debe ocurrir dentro de la ley.,https://twitter.com/matthewbennett/status/1001519964258471948
1001512360492724224,412373658,SinapsiaCapital,"Ley de Secretos Empresariales, contra que protege a las empresas  http://dlvr.it/QVVdZj  pic.twitter.com/GENC8CkKZa",https://twitter.com/SinapsiaCapital/status/1001512360492724224
1001504905557958657,1685636041,gemprojecmarket,"Taxistas en México se toman las calles por ley de movilidad que involucra a Uber, ¿de qué se trata?  http://ow.ly/viCV50htCyH ",https://twitter.com/gemprojecmarket/status/1001504905557958657
1001502966635999232,3447621017,ParcFeme,"@elpidiojsilva @edurneucar Y los independentismos están en la cama con esa corrupción y le hacen homenajes. Dan vergüenza ajena. Por favor, a elecciones generales, hay que echarlos a todos. Limpieza total. Y cambiar ley electoral.",https://twitter.com/ParcFeme/status/1001502966635999232
